datetime,val
2020-12-29 12:00,421
2020-12-29 13:00,395
2020-12-29 14:00,318
2020-12-29 15:00,309
2020-12-29 16:00,119
2020-12-29 17:00,155
2020-12-29 18:00,143
2020-12-29 19:00,567
2020-12-29 20:00,372
2020-12-29 21:00,412
2020-12-29 22:00,166
2020-12-29 23:00,117
2020-12-30 0:00,107
2020-12-30 1:00,237
2020-12-30 2:00,173
2020-12-30 3:00,95
2020-12-30 4:00,45
2020-12-30 5:00,112
2020-12-30 6:00,135
2020-12-30 7:00,28
2020-12-30 8:00,179
2020-12-30 9:00,415
2020-12-30 10:00,604
2020-12-30 11:00,381
2020-12-30 12:00,276
2020-12-30 13:00,303
2020-12-30 14:00,411
2020-12-30 15:00,494
2020-12-30 16:00,670
2020-12-30 17:00,436
2020-12-30 18:00,300
2020-12-30 19:00,477
2020-12-30 20:00,305
2020-12-30 21:00,362
2020-12-30 22:00,207
2020-12-30 23:00,133
2020-12-31 0:00,153
2020-12-31 1:00,159
2020-12-31 2:00,202
2020-12-31 3:00,135
2020-12-31 4:00,60
2020-12-31 5:00,43
2020-12-31 6:00,26
2020-12-31 7:00,28
2020-12-31 8:00,313
2020-12-31 9:00,501
2020-12-31 10:00,387
2020-12-31 11:00,368
2020-12-31 12:00,173
2020-12-31 13:00,347
2020-12-31 14:00,335
2020-12-31 15:00,204
2020-12-31 16:00,254
2020-12-31 17:00,473
2020-12-31 18:00,305
2020-12-31 19:00,328
2020-12-31 20:00,347
2020-12-31 21:00,335
2020-12-31 22:00,141
2020-12-31 23:00,112
